sample number,Cumulative Oil (M m3)_1,Cumulative Oil (M m3)_3,Cumulative Oil (M m3)_5,Cumulative Oil (M m3)_7,Cumulative Oil (M m3)_9,Cumulative Oil (M m3)_11,Oil Rate (m3/day)_1,Oil Rate (m3/day)_3,Oil Rate (m3/day)_5,Oil Rate (m3/day)_7,Oil Rate (m3/day)_9,Oil Rate (m3/day)_11,Initial Sw
559,0.000696608,37.729,74.897,111.0,146.66,180.78,1003.1,628.86,609.32,591.89,575.17,559.28,0.23
560,0.000122561,5.5807,10.65,15.553,20.435,25.171,176.49,87.968,83.096,80.385,78.737,77.645,0.17
561,0.00109039,42.862,82.95,121.71,159.9,196.38,1570.2,685.67,657.18,635.36,615.95,598.05,0.24
562,0.00405244,150.67,281.66,399.58,505.58,597.24,5835.6,2391.9,2147.3,1933.0,1709.8,1502.5,0.26
563,0.00241273,95.81,180.65,256.05,326.02,387.95,3474.3,1510.4,1354.4,1236.2,1128.5,1015.1,0.26
564,0.0045791,177.17,328.13,457.51,573.34,668.85,6594.0,2751.1,2391.1,2121.1,1792.5,1565.8,0.26
565,0.000265534,12.465,24.486,36.266,48.058,59.51,382.37,203.71,197.06,193.12,190.19,187.73,0.19
566,0.000829873,42.363,84.235,124.84,164.88,203.09,1195.0,709.4,686.43,665.74,645.68,626.52,0.24
567,0.00193096,85.134,164.32,239.06,310.82,377.59,2780.6,1380.9,1298.2,1225.2,1157.3,1094.7,0.18
568,0.00128427,56.446,108.43,157.88,205.85,250.99,1849.4,904.79,852.26,810.64,773.67,740.05,0.23
569,0.0036711,141.05,262.92,369.14,463.78,545.82,5286.4,2199.4,1937.4,1741.3,1526.5,1344.8,0.21
570,0.00355004,128.62,241.16,340.77,430.8,510.02,5112.1,2019.3,1794.0,1632.9,1452.1,1298.7,0.25
571,0.000139053,7.3154,14.593,21.802,29.077,36.19,200.24,121.16,119.31,118.18,117.33,116.6,0.2
572,0.000532729,26.343,52.035,77.137,102.1,126.17,767.14,433.38,421.18,411.51,402.69,394.47,0.22
573,0.00111522,46.314,86.876,124.45,160.22,193.45,1605.9,731.87,664.95,615.9,576.95,544.81,0.23
574,8.48758e-06,0.48122,0.93427,1.3733,1.8088,2.2292,12.222,7.771,7.4272,7.1964,7.0247,6.8918,0.25
575,8.38183e-05,4.335,8.6655,12.968,17.32,21.585,120.7,71.813,70.991,70.526,70.195,69.92,0.23
576,0.00180886,78.128,150.02,217.57,282.21,342.21,2604.8,1261.3,1178.6,1107.4,1042.6,983.54,0.26
577,0.00201022,71.832,136.86,196.81,254.07,306.24,2894.7,1132.5,1046.3,982.74,923.62,855.24,0.26
578,0.000596206,31.032,61.293,90.742,119.91,147.91,858.54,511.91,496.09,482.76,470.47,458.99,0.24
579,0.000518695,25.458,50.798,75.683,100.54,124.58,746.92,424.35,415.41,407.95,400.88,394.17,0.17
580,8.07179e-05,3.8025,7.521,11.213,14.948,18.609,116.23,61.851,60.959,60.525,60.24,60.011,0.21
581,0.00121657,51.357,100.38,147.49,193.58,373.3076761095744,1751.9,840.8,803.66,772.28,743.36,716.57,0.22
582,0.000677305,33.178,65.26,96.387,127.14,156.6,975.33,545.22,525.93,510.29,496.06,482.97,0.22
